sentence,shannon,huffmann
"""One side of _what_? The other side of _what_?"" thought Alice to",4.07894373758451,4.9130435
herself.,2.75,2.857143
"aloud; and in another moment, it was out of sight.",3.9537863204943653,4.85
"Alice remained looking thoughtfully at the mushroom for a minute, trying",4.100926572126644,4.714286
to make out which were the two sides of it. At last she stretched her,3.7064129072126293,4.6842103
"arms 'round it as far as they would go, and broke off a bit of the edge",3.9612389788672995,4.909091
with each hand.,3.32323142879762,3.6363637
"""And now which is which?"" she said to herself, and nibbled a little of",3.9899336336938407,4.65
the right-hand bit to try the effect. The next moment she felt a violent,3.876130798657097,5.0869565
blow underneath her chin--it had struck her foot!,4.047956784254657,4.7
"She was a good deal frightened by this very sudden change, as she was",3.9657081915942762,4.909091
shrinking rapidly; so she set to work at once to eat some of the other,3.8367081483943926,4.904762
bit. Her chin was pressed so closely against her foot that there was,3.9375095780387572,4.904762
hardly room to open her mouth; but she did it at last and managed to,3.824987747826945,4.736842
swallow a morsel of the left-hand bit....,3.930007492106357,4.5555553
"she looked down, was an immense length of neck, which seemed to rise",3.880296629640165,4.631579
like a stalk out of a sea of green leaves that lay far below her.,3.7581020916479373,4.9
"about easily in any direction, like a serpent. She had just succeeded in",4.033984640620615,4.909091
curving it down into a graceful zigzag and was going to dive in among,3.823171410660277,4.736842
"the leaves, when a sharp hiss made her draw back in a hurry--a large",3.9211970204875133,5.0
pigeon had flown into her face and was beating her violently with its,3.959568935403745,4.75
wings.,2.5849625007211565,2.6666667
[Illustration],3.521640636343319,3.75
"""Serpent!"" cried the Pigeon.",3.865764637179022,4.352941
"I'm _not_ a serpent!"" said Alice indignantly. ""Let me alone!",4.207361430970777,4.9583335
Alice was more and more puzzled.,3.9496987351738495,4.388889
of changes she had gone through that day.,3.694605432242863,4.1875
"and what does it matter to me whether you're a little girl or a,3.7618571211624774,4.7894735
serpent?",2.9477027792200903,3.125
down again into its nest. Alice crouched down among the trees as well as,3.9098543389289024,4.631579
"she could, for her neck kept getting entangled among the branches, and",4.002658049009465,4.857143
every now and then she had to stop and untwist it. After awhile she,3.8623949187836204,4.85
"remembered that she still held the pieces of mushroom in her hands, and",3.85010777588236,4.8421054
"she set to work very carefully, nibbling first at one and then at the",4.010078612866649,4.909091
"other, and growing sometimes taller and sometimes shorter, until she had",3.8787043499044223,4.470588
succeeded in bringing herself down to her usual height.,3.9736156777933767,4.5263157
It was so long since she had been anything near the right size that it,3.7405787776343846,4.736842
"she came suddenly upon an open place, with a little house in it about",3.893295692719643,4.6842103
herself down to nine inches high.,3.7000144837038995,4.25
VI--PIG AND PEPPER,3.2810361125534238,3.7272727
"For a minute or two she stood looking at the house, when suddenly a",3.894599722978842,4.7
footman in livery came running out of the wood (judging by his face,4.134399966538937,4.9565215
